userId,date_of_birth,diet_type,cognitive_scores,risk_trackings
15e47aab-ae8b-457c-a5b8-9f64b937bf07,1962-08-23,Vegetarian,"['27856597-640f-4bc4-a04d-cd25986b698c', '46509d98-bb3d-461e-b2f6-4c4c422231b2', '000d5d14-9f81-43a3-843b-f051f051d74a', '0069387d-4ced-4f1d-923d-f40476d34122', '13dc5011-c16c-48d2-bc98-76bbaff647de', 'b12cd8d3-fc0d-43e6-8a8e-ab7ba0940698', 'b60cbff1-a07a-40fa-bb2a-0df4f0a236a2', 'c9c25609-8879-418f-b721-07e5bfc5a55b', 'd301659b-eed1-4bf0-84f3-e7b7f954bf73', '2cdfd5b1-9a55-4979-8bb2-be1e368b0f80', '6d4b420f-857d-4c1d-8d3f-963d9861d647']","['a29df03a-abb3-47e2-a7e7-cdcb16ca7eea', 'efec6823-8efe-4a08-8699-fd769471cf39', '411944ee-b90a-4d3d-a6ab-c407cc3fbce6', '1cb47827-8b23-4b52-8e56-69c42ee0ac0a']"
f821c89b-1c79-4ff9-ae15-22f38280e92c,1991-06-16,Vegetarian,"['a53a9c21-5afc-4cda-8cc9-6a28ffcd32ec', '44cdbdbf-e85f-4ccd-986a-eb5135105d2e', 'cbc1c0b4-3820-4ada-b6bb-976a5bba2ac1', 'eadb62c2-f003-44c5-9b11-dbc1f5bcca6a', '96e97335-322c-4e62-8431-621505a5a6af', 'c213f47e-8cde-4430-8d63-b3e941d444d3', '8c041b6a-c316-4671-8a9d-10486427f3bf', '9206ec79-90e1-4d09-b795-2b3d4a1ff97b', '73984aec-4540-4f20-bc35-5b345727140b', '18efee07-beba-4735-a146-206b450e80a1', '7f452d2e-34fb-4bfd-8277-b79b85eae1e8', 'd9add275-61dc-4df5-b5f8-e371c00b462d', 'ffdee97e-ebd9-4df6-9a30-fc2f3615c511']","['8db0fddb-f369-47f3-96f1-aa84c23c43ff', 'e7051129-4160-45ac-b537-f70615569a9e', '41e83ad8-915f-4873-9fdf-86da791ea4b2', '59bd3219-9b66-4ef0-b208-ce31cee83858', '70261310-4688-4892-b8d6-1ea219a8b3ee']"
396b160e-e117-4e28-89f1-7e07f85939b0,1980-04-04,Paleo,"['a8c2a8c5-f207-4d4d-9845-d365f1c54547', '8ca49b30-cf35-40b9-b0b6-c7760b2f476c', 'cb3b3753-3f52-482e-8dfa-be52b68accbd', '2e5102d4-3407-44b7-8107-b1c2de83455d', '5bc9733c-d49e-4077-92bb-1453042e2b74', '21fcc593-ff0a-4b78-840f-3ce39a3d3535']","['8f45d569-c47d-4d6f-94d7-140ea8aff529', '702b9818-90ac-4452-a634-d33922823f45', 'bb46fd1a-019d-458e-9ed8-4ff4be8b7085', '34902b49-61bb-4302-9dcb-80c7b0d71315', '6dfa9650-af1d-41e2-9c5f-371717c05468', '5569c58e-7b46-4d6b-93fa-63250a781e79', '3e5a2cb2-b99f-47c2-9ab9-b5d692fa1bc5', '7cd631b9-ea3c-4706-ad80-7b99c74ecb35', '2ef3d27a-afa6-4fd8-befd-2142b988dcbd']"
ac79b6b5-f93d-487e-b789-031732ed9ffd,1961-12-30,Keto,['f2e13f1a-ce5c-4a5e-bb29-89e63469bd63'],"['093194df-d031-4d70-af01-501ed00bfcc5', '51196cce-dc76-4111-88e1-92dfb955a414', '35fa9adc-3bcd-4fa2-8667-faf71c9c1077', 'a3e65460-9884-42e8-8d0f-ca8ed9111393', '5947eac1-0992-444e-a638-d117e224998a']"
91184194-95b0-42d2-8eac-faa3bb01e7e5,1993-12-20,Vegan,"['8bf3ba6f-c5d5-4696-a745-b5a66b6d2ca8', '719a899b-6a18-45b9-a1e8-01ac5ea3afce', '71ffb6f7-73b9-4d5c-8fac-730cb197df19', 'dab6a7c6-553c-4b39-b654-ce90252c87f7', '2a35fa24-799f-4eee-8d8f-afa42e8a438e', 'a3b6b821-2cf8-4efc-aa17-3e298e087590', '5e11b0b9-be7f-4c47-9692-729ee6283e2e', '870b8635-bd3f-49ff-81ed-ad6da2b941fc', 'd199ffcb-d015-49f8-9b24-4fd336643f8b', '0d859928-a110-4b39-b0ea-7d4248898181', '4058608d-37cb-4c62-bb27-a9c733104cb5']","['fb29e7c7-97c6-4da6-a8a0-3b2b4446e49a', 'ed8d2153-20de-4984-a0aa-957947181d35', '6bf13e1d-568d-4c58-9050-e1fa634a2af6', '2a31f029-cfa3-4b0b-8258-7f075082de81', 'e3800e20-b42f-4db3-8493-636e8c5c166a', 'd3120592-a750-4e18-91de-d898d88e7d85', 'fe14d16d-d12c-4517-a046-c256d29ed4ca', '4a903e24-7580-4d1c-8211-63087539dc11']"
16b4d4f9-1bf6-4bc8-8c5f-3791e7ff34c2,1996-01-11,Vegetarian,"['367cc8fe-1826-4229-bb24-1a8eb1671444', '252eb634-9a56-4703-912d-a00a175921c7', 'c776169d-ca01-4077-b837-b49233230f7a', 'b8532730-45c7-4c46-a2e7-195e079ebd15', '3c8f98af-d5d4-4a29-9f3c-9664ed45b69a', '9cd0fa7f-4c77-4045-8706-5015663de5dd', 'fea2e65c-3683-4708-8110-acb979f45f55']","['94f07d4d-a475-4c03-8491-9d62d3a39b1f', '14740bc4-1ac6-4c1b-aab0-e70d6506d69d', '433fa3bf-bca8-4842-8f22-2ac0037b5442', '99ea7b2a-da06-4ed3-af7c-c5dff7f6b0b4', '3d3db6a8-9ddc-491b-8d7a-5ca83fa17588', '62f143ea-29df-45c2-ab6a-96a1f25e09fc', 'bd69ab6e-9e40-438e-8074-9f8d5e536a7a', 'd3e1e8a8-9f4e-466d-bbe1-b527933c49bc']"
3a9a5365-22db-4239-b401-bbdc70026c63,1985-07-01,Vegetarian,['def06260-cc7c-40b5-9c04-d4f463fd9f16'],"['b4888dc3-a064-4052-abd1-403341248244', '329e0dd7-cf4b-45e6-8f40-879fddbec527', '1a5827e1-f327-485e-aa40-faa86cdc01ee', '3e1186fd-ee10-42a0-b358-8d638caeaefe', '2dc37925-f359-465e-8bff-280423c04563', 'd00c3806-16a2-41ce-8852-2ac74d3e5b40', 'bbaaff84-5b57-4a79-b708-bf8a9171a004', '4e92627b-ce80-48f4-bb19-5beb79f201f6']"
3b253df2-f707-4fce-8d90-be2577837d5b,2005-08-04,Vegetarian,[],"['a27daddd-e3b9-4611-92c2-bae1ccfff5fa', '6de05768-aa26-4660-9374-9edcd7155b3b', '9a8ae6c1-a34a-4a44-8201-8a0f0edd61ae', '30750883-bc15-47ec-a3f3-6055144c5049', 'f60212a5-4509-475e-a0dc-cdac03e40373', '1e2e5daf-b78e-4f1b-9824-6cd2d188ab50', '99b53b59-eaac-4ed2-a554-5fcce10005d9', '01c87cf4-cfb8-42c8-bab7-1df5cd8e74ed', '0f72a614-d813-47dc-a8e8-57f36b914475']"
dfafceee-252b-4c09-af55-9d8e1fb03970,1985-01-18,Keto,"['e9b0bf43-4531-4197-88c4-77173184581d', '13464614-e5a1-4080-ae1e-358fef5dbd54', '2f14899d-3722-4601-b382-10ff22e7949f', '0970b552-a815-40a2-8e75-3b9502197036', '9e7726de-d48a-4cda-824b-79a130331f4b', '81c1111f-9556-4e65-bee4-843224ad3ff0', 'b5a508a7-5f09-40ed-be0b-d1a290ba0315', '66ed4cca-a4f0-442d-b711-5fd4b4d371e6', 'cdcfb2ea-17dd-40d6-ba3a-fe958151cfe2', '6b428238-dd61-4ba5-b848-dc71b8a54cf5', '0a731d04-6bdf-48c3-afba-bde3df35d8ab', '7aad3c00-3a33-4242-8664-90d4a28013fe', '5c547480-9fcb-457e-bb8e-d60ad145f325']","['8c528c5d-f15f-441c-9c00-903ea6e962c6', 'a8d85b47-cff3-4377-b404-56ef818f436e', '9146b72d-9c4d-480b-8a88-33fe48dfc086', 'b2228ad0-de74-4277-b1c2-958df8966e46', '1dbdb571-44fa-4246-a484-5cd1dbafa249', '523318fd-4697-4c8e-a239-e94a4f34c539', 'f6fbd051-105e-4293-8246-f74196759a72']"
bc88cd60-a7e7-47a8-9c23-856908778680,1980-01-21,Omnivore,"['0fc58dae-4a57-4649-9467-d7be7054b692', '4c8c6abd-112d-42de-a215-6a6893e1cd81', '166bd747-f8e6-4f6f-9645-5f08bed466fe', 'f08a3c66-7747-4ec2-a58e-1309b140a708']","['9e5ef271-0cdc-4c78-aecb-1f78eace7982', '5a6bca59-b446-4eec-9649-f43758868567', 'a6add7c4-f366-4558-bc52-fe8e698e3135', 'afe279cc-fb09-4cfd-88e9-5bdc2172be5c', '4e9fcdbd-77e5-4162-aa28-efb2e3e98eb6', 'bb2c1d0f-828c-4bfb-ae87-7bb9aac420cc', '124f3ee5-0cea-4037-b3bd-0704d436683a']"
020f5dd5-7c8f-4786-b732-9f285d2dfca0,1981-06-27,Keto,"['d7940242-cc06-4295-84c5-1ab8ca537806', '8f9db76a-e136-467b-8cca-e87c523cce2d', '39d54f50-97dc-488a-93e9-194d876cbde2', '91873c8c-bd7e-4c20-a768-372670ea7810', '5c287bd3-8181-450f-b5f2-048d3aecf8dd', '4f5a5a14-62fe-4616-a69a-aabe9f27bed9']","['de031c96-25ab-4f1b-a432-840979d1b79d', '13414f83-393f-462e-acf4-5d4a481cf38a', '1bc7d7ff-8e2e-4f20-8ade-a723add6ca14', '16bc4cf8-f5a5-4636-ab83-01e1e5b51f64', '6e4e6b02-d501-453a-a916-1cf14b449a20', '043af34e-33e8-45d8-a87b-81112181e9d2', '6c0f02f1-2d35-4665-85bd-cf3b7cc29da9', '234acd28-4147-4b79-8341-78b12819007c', '78cbc32d-786b-44cb-869b-f2eb2c3b0f05', '7b9de12f-ee66-4489-be36-4a0828f20a8a']"
6dbdb0f1-2ba0-4884-a636-885719f1c4c1,1992-10-30,Vegetarian,"['3a86f3d4-2e1d-4696-983a-b4d39df16ed8', '136ac525-9139-4602-8068-7f0e3a1c7836', '5ba4413f-93df-4578-b0c6-3f454c80e2fa', 'b7d17dd6-e5c4-4563-b478-18aa09f1859d', '0666a8ac-6947-4b91-9b54-5e5f92250b12', '0813c306-bde8-4efc-bf58-9c273fc76ce5', 'fe2c21b9-69ad-42d9-b6cd-ce120e799c08', '9d42ab0a-ed2f-4337-9334-2f8f1fcf8baf', 'c1cbb214-c300-4525-9d00-0a88aceffa3b', '2d81a0ba-ca44-4a0c-a565-0a42a1ff970e']","['39dab469-a0f6-4a22-9c67-1645477c3ef1', 'efbce774-3c49-4616-b30a-3a7b1aef62f5', 'a584d4f8-ed18-4a5e-952a-32973bf4257c', '22d085c8-1d23-48ac-9175-22aba2077c4e', 'aaa6091f-5682-4750-b4b2-0fbcb5cecfa8', '5712ff0f-c6e3-4399-893f-895eb0799829', 'c39f5d88-a550-4f4c-9cde-47ca0496bd03', '99644433-d095-4130-b50c-cbd6fe22235d', 'b2a3e9d4-3cab-4f26-853e-331b28735bbc', 'f07ed9d4-7f0d-4af0-86fa-6841dff5b66a']"
71e39ed8-2955-4b07-b099-5493bacfa8fe,1988-05-11,Vegetarian,"['de8b0207-9773-4dc9-82ba-4b37e7f13438', '374ef2ea-8ff0-42d1-a39f-928e0d3b9c9a', 'd3121a9b-91ff-4108-a985-2acdaf18ac2a', 'bdf3ac85-a653-468d-ac5b-266731937956', 'f6b9d9b5-77c0-4da1-aa98-6218d05d0872', '3ce6f10e-15f9-4fef-826d-ce08c626deee']",[]
ac767f51-49cc-4fe9-9167-0f784cc8c467,1971-10-15,Paleo,"['3793d2fe-a7c5-479f-8cd4-d4f586fbdf89', '9081ae83-3353-4e3f-9d39-e345b5f1dba6', 'a47a5c43-44d3-44e4-837d-598f8ecc04f6', '1d9988c9-273e-4063-817c-2e304b32b3be']",['fe12acc9-cc56-4a86-bf8f-b08e990b9ea8']
232b9342-2157-4dc6-a996-c226ad46b9d3,1979-07-05,Keto,"['25be285c-1f50-487c-b8ef-9b58196db5e6', '1f8f78f3-3f76-488c-ba69-3e27051a2b3f', 'b4706373-2418-4172-8aba-f4db0bb36b73', 'df09bd99-bbd9-4e0d-aee0-3d59e0744b4f', '0111f12f-067b-4887-875c-de1db43553d3', '37f41221-6993-4429-b382-92f5cb487e1b', 'efe055ed-1562-413b-aafe-8ec81b990d04']","['b154fae5-096f-47ed-ab4e-60c53df3d04e', 'e5e447ca-3fae-42dc-bdde-cf20de77ee8b', '1c2392a1-49ff-44c4-a0cb-56cccbdeb6e8']"
2cfd6583-a383-43ae-b3a3-98811a61e2c5,1985-02-20,Paleo,"['aaa627b4-990f-4733-bb7c-395875cd2d84', 'f9574ead-3355-4d75-86f0-d607cc85a394', 'f2b0e196-8977-42c9-9244-da8bf0c74bf7', '61903d39-01f3-46a0-8806-47ca7b548ed7', '6034070a-0e6f-4d28-a988-f54857a6bfc3', '1fc2fb21-344e-4783-8430-8fb8ad6b69ed']","['3b5ccc81-f759-468e-9e27-2f35f51f272b', '67c4d1df-dab8-4177-8fd5-dadd7bf995cd', '2835caf9-45f3-4a42-9c5c-91f5bb03fabf']"
92efb3ae-a0f1-4b8b-a5af-3306d131ec7b,1961-04-30,Omnivore,"['db6521d8-8435-47a7-bc84-00d7fda0dc77', '4c064a30-122f-440d-bb7f-e61e41dae8db', '7a5e7124-73b3-408c-b384-f1422229b235', 'db4ab969-eab9-4e52-a0e2-4d79c5d25c0e']",[]
